 Percent |	Source code & Disassembly of go for cpu-clock (19 samples, percent: local period)
-------------------------------------------------------------------------------------------------
         :
         :
         :
         : 3      Disassembly of section .text:
         :
         : 5      0000000000536418 <crypto/internal/fips140/sha256.block.abi0>:
         : 6      crypto/internal/fips140/sha256.block.abi0():
    0.00 :   536840: srliw   t6,a3,0x2
    0.00 :   536844: slliw   t1,a3,0x1e
    0.00 :   536848: or      t1,t6,t1
    0.00 :   53684c: srliw   t6,a3,0xd
    0.00 :   536850: slliw   t2,a3,0x13
    0.00 :   536854: or      t2,t6,t2
    0.00 :   536858: srliw   t6,a3,0x16
    0.00 :   53685c: slliw   s0,a3,0xa
    0.00 :   536860: or      s0,t6,s0
    0.00 :   536864: xor     t1,t1,t2
    0.00 :   536868: xor     s1,a5,a4
    0.00 :   53686c: and     t2,a5,a4
    0.00 :   536870: and     s1,s1,a3
    0.00 :   536872: xor     t1,t1,s0
    0.00 :   536876: xor     s1,s1,t2
    0.00 :   53687a: add     t1,t1,s1
    0.00 :   53687c: add     a6,a6,t0
    0.00 :   53687e: add     a2,t0,t1
    0.00 :   536882: lbu     t0,24(t4)
    0.00 :   536886: lbu     t1,25(t4)
    0.00 :   53688a: lbu     t2,26(t4)
    0.00 :   53688e: lbu     s0,27(t4)
    0.00 :   536892: slli    t0,t0,0x18
    0.00 :   536894: slli    t1,t1,0x10
    0.00 :   536896: or      t0,t1,t0
    0.00 :   53689a: slli    t2,t2,0x8
    0.00 :   53689c: or      t0,t2,t0
    0.00 :   5368a0: or      t0,s0,t0
    0.00 :   5368a4: sw      t0,24(s3)
    0.00 :   5368a8: lwu     s0,24(s2)
    0.00 :   5368ac: add     a1,a1,t0
    0.00 :   5368ae: srliw   t6,a6,0x6
    0.00 :   5368b2: slliw   t1,a6,0x1a
    0.00 :   5368b6: or      t1,t6,t1
    0.00 :   5368ba: add     a1,a1,s0
    0.00 :   5368bc: srliw   t6,a6,0xb
    0.00 :   5368c0: slliw   t2,a6,0x15
    0.00 :   5368c4: or      t2,t6,t2
    0.00 :   5368c8: srliw   t6,a6,0x19
    0.00 :   5368cc: slliw   s0,a6,0x7
    0.00 :   5368d0: or      s0,t6,s0
    0.00 :   5368d4: xor     t1,t1,t2
    0.00 :   5368d8: xor     t0,a0,a7
    0.00 :   5368dc: xor     t1,t1,s0
    0.00 :   5368e0: and     t0,t0,a6
    0.00 :   5368e4: add     a1,a1,t1
    0.00 :   5368e6: xor     t0,t0,a0
    0.00 :   5368ea: add     t0,t0,a1
    0.00 :   5368ec: srliw   t6,a2,0x2
    0.00 :   5368f0: slliw   t1,a2,0x1e
    0.00 :   5368f4: or      t1,t6,t1
    0.00 :   5368f8: srliw   t6,a2,0xd
    0.00 :   5368fc: slliw   t2,a2,0x13
    0.00 :   536900: or      t2,t6,t2
    0.00 :   536904: srliw   t6,a2,0x16
    0.00 :   536908: slliw   s0,a2,0xa
    5.26 :   53690c: or      s0,t6,s0
    0.00 :   536910: xor     t1,t1,t2
    0.00 :   536914: xor     s1,a4,a3
    0.00 :   536918: and     t2,a4,a3
    0.00 :   53691c: and     s1,s1,a2
    0.00 :   53691e: xor     t1,t1,s0
    0.00 :   536922: xor     s1,s1,t2
    0.00 :   536926: add     t1,t1,s1
    0.00 :   536928: add     a5,a5,t0
    0.00 :   53692a: add     a1,t0,t1
    0.00 :   53692e: lbu     t0,28(t4)
    0.00 :   536932: lbu     t1,29(t4)
    0.00 :   536936: lbu     t2,30(t4)
    0.00 :   53693a: lbu     s0,31(t4)
    0.00 :   53693e: slli    t0,t0,0x18
    0.00 :   536940: slli    t1,t1,0x10
    0.00 :   536942: or      t0,t1,t0
    0.00 :   536946: slli    t2,t2,0x8
    0.00 :   536948: or      t0,t2,t0
    0.00 :   53694c: or      t0,s0,t0
    0.00 :   536950: sw      t0,28(s3)
    0.00 :   536954: lwu     s0,28(s2)
    0.00 :   536958: add     a0,a0,t0
    0.00 :   53695a: srliw   t6,a5,0x6
    0.00 :   53695e: slliw   t1,a5,0x1a
    0.00 :   536962: or      t1,t6,t1
    0.00 :   536966: add     a0,a0,s0
    0.00 :   536968: srliw   t6,a5,0xb
    0.00 :   53696c: slliw   t2,a5,0x15
    0.00 :   536970: or      t2,t6,t2
    0.00 :   536974: srliw   t6,a5,0x19
    0.00 :   536978: slliw   s0,a5,0x7
    0.00 :   53697c: or      s0,t6,s0
    0.00 :   536980: xor     t1,t1,t2
    0.00 :   536984: xor     t0,a7,a6
    0.00 :   536988: xor     t1,t1,s0
    0.00 :   53698c: and     t0,t0,a5
    0.00 :   536990: add     a0,a0,t1
    0.00 :   536992: xor     t0,t0,a7
    0.00 :   536996: add     t0,t0,a0
    0.00 :   536998: srliw   t6,a1,0x2
    0.00 :   53699c: slliw   t1,a1,0x1e
    0.00 :   5369a0: or      t1,t6,t1
    0.00 :   5369a4: srliw   t6,a1,0xd
    0.00 :   5369a8: slliw   t2,a1,0x13
    0.00 :   5369ac: or      t2,t6,t2
    0.00 :   5369b0: srliw   t6,a1,0x16
    0.00 :   5369b4: slliw   s0,a1,0xa
    0.00 :   5369b8: or      s0,t6,s0
    0.00 :   5369bc: xor     t1,t1,t2
    0.00 :   5369c0: xor     s1,a3,a2
    0.00 :   5369c4: and     t2,a3,a2
    0.00 :   5369c8: and     s1,s1,a1
    0.00 :   5369ca: xor     t1,t1,s0
    0.00 :   5369ce: xor     s1,s1,t2
    0.00 :   5369d2: add     t1,t1,s1
    0.00 :   5369d4: add     a4,a4,t0
    0.00 :   5369d6: add     a0,t0,t1
    0.00 :   5369da: lbu     t0,32(t4)
    0.00 :   5369de: lbu     t1,33(t4)
    0.00 :   5369e2: lbu     t2,34(t4)
    0.00 :   5369e6: lbu     s0,35(t4)
    0.00 :   5369ea: slli    t0,t0,0x18
    0.00 :   5369ec: slli    t1,t1,0x10
    0.00 :   5369ee: or      t0,t1,t0
    0.00 :   5369f2: slli    t2,t2,0x8
    0.00 :   5369f4: or      t0,t2,t0
    0.00 :   5369f8: or      t0,s0,t0
    0.00 :   5369fc: sw      t0,32(s3)
    0.00 :   536a00: lwu     s0,32(s2)
    0.00 :   536a04: add     a7,a7,t0
    0.00 :   536a06: srliw   t6,a4,0x6
    0.00 :   536a0a: slliw   t1,a4,0x1a
    0.00 :   536a0e: or      t1,t6,t1
    0.00 :   536a12: add     a7,a7,s0
    0.00 :   536a14: srliw   t6,a4,0xb
    0.00 :   536a18: slliw   t2,a4,0x15
    0.00 :   536a1c: or      t2,t6,t2
    0.00 :   536a20: srliw   t6,a4,0x19
    0.00 :   536a24: slliw   s0,a4,0x7
    0.00 :   536a28: or      s0,t6,s0
    0.00 :   536a2c: xor     t1,t1,t2
    0.00 :   536a30: xor     t0,a6,a5
    0.00 :   536a34: xor     t1,t1,s0
    0.00 :   536a38: and     t0,t0,a4
    0.00 :   536a3c: add     a7,a7,t1
    0.00 :   536a3e: xor     t0,t0,a6
    0.00 :   536a42: add     t0,t0,a7
    0.00 :   536a44: srliw   t6,a0,0x2
    0.00 :   536a48: slliw   t1,a0,0x1e
    0.00 :   536a4c: or      t1,t6,t1
    0.00 :   536a50: srliw   t6,a0,0xd
    0.00 :   536a54: slliw   t2,a0,0x13
    0.00 :   536a58: or      t2,t6,t2
    0.00 :   536a5c: srliw   t6,a0,0x16
    0.00 :   536a60: slliw   s0,a0,0xa
    0.00 :   536a64: or      s0,t6,s0
    0.00 :   536a68: xor     t1,t1,t2
    0.00 :   536a6c: xor     s1,a2,a1
    0.00 :   536a70: and     t2,a2,a1
    0.00 :   536a74: and     s1,s1,a0
    0.00 :   536a76: xor     t1,t1,s0
    0.00 :   536a7a: xor     s1,s1,t2
    0.00 :   536a7e: add     t1,t1,s1
    0.00 :   536a80: add     a3,a3,t0
    0.00 :   536a82: add     a7,t0,t1
    0.00 :   536a86: lbu     t0,36(t4)
    0.00 :   536a8a: lbu     t1,37(t4)
    0.00 :   536a8e: lbu     t2,38(t4)
    0.00 :   536a92: lbu     s0,39(t4)
    0.00 :   536a96: slli    t0,t0,0x18
    0.00 :   536a98: slli    t1,t1,0x10
    0.00 :   536a9a: or      t0,t1,t0
    0.00 :   536a9e: slli    t2,t2,0x8
    0.00 :   536aa0: or      t0,t2,t0
    0.00 :   536aa4: or      t0,s0,t0
    0.00 :   536aa8: sw      t0,36(s3)
    0.00 :   536aac: lwu     s0,36(s2)
    0.00 :   536ab0: add     a6,a6,t0
    0.00 :   536ab2: srliw   t6,a3,0x6
    0.00 :   536ab6: slliw   t1,a3,0x1a
    0.00 :   536aba: or      t1,t6,t1
    0.00 :   536abe: add     a6,a6,s0
    0.00 :   536ac0: srliw   t6,a3,0xb
    0.00 :   536ac4: slliw   t2,a3,0x15
    0.00 :   536ac8: or      t2,t6,t2
    0.00 :   536acc: srliw   t6,a3,0x19
    0.00 :   536ad0: slliw   s0,a3,0x7
    0.00 :   536ad4: or      s0,t6,s0
    0.00 :   536ad8: xor     t1,t1,t2
    0.00 :   536adc: xor     t0,a5,a4
    0.00 :   536ae0: xor     t1,t1,s0
    0.00 :   536ae4: and     t0,t0,a3
    0.00 :   536ae8: add     a6,a6,t1
    0.00 :   536aea: xor     t0,t0,a5
    0.00 :   536aee: add     t0,t0,a6
    0.00 :   536af0: srliw   t6,a7,0x2
    0.00 :   536af4: slliw   t1,a7,0x1e
    0.00 :   536af8: or      t1,t6,t1
    0.00 :   536afc: srliw   t6,a7,0xd
    0.00 :   536b00: slliw   t2,a7,0x13
    0.00 :   536b04: or      t2,t6,t2
    0.00 :   536b08: srliw   t6,a7,0x16
    0.00 :   536b0c: slliw   s0,a7,0xa
    0.00 :   536b10: or      s0,t6,s0
    0.00 :   536b14: xor     t1,t1,t2
    0.00 :   536b18: xor     s1,a1,a0
    0.00 :   536b1c: and     t2,a1,a0
    0.00 :   536b20: and     s1,s1,a7
    0.00 :   536b24: xor     t1,t1,s0
    0.00 :   536b28: xor     s1,s1,t2
    0.00 :   536b2c: add     t1,t1,s1
    0.00 :   536b2e: add     a2,a2,t0
    0.00 :   536b30: add     a6,t0,t1
    0.00 :   536b34: lbu     t0,40(t4)
    0.00 :   536b38: lbu     t1,41(t4)
    0.00 :   536b3c: lbu     t2,42(t4)
    0.00 :   536b40: lbu     s0,43(t4)
    0.00 :   536b44: slli    t0,t0,0x18
    0.00 :   536b46: slli    t1,t1,0x10
    0.00 :   536b48: or      t0,t1,t0
    0.00 :   536b4c: slli    t2,t2,0x8
    0.00 :   536b4e: or      t0,t2,t0
    0.00 :   536b52: or      t0,s0,t0
    0.00 :   536b56: sw      t0,40(s3)
    0.00 :   536b5a: lwu     s0,40(s2)
    0.00 :   536b5e: add     a5,a5,t0
    0.00 :   536b60: srliw   t6,a2,0x6
    0.00 :   536b64: slliw   t1,a2,0x1a
    0.00 :   536b68: or      t1,t6,t1
    0.00 :   536b6c: add     a5,a5,s0
    0.00 :   536b6e: srliw   t6,a2,0xb
    0.00 :   536b72: slliw   t2,a2,0x15
    0.00 :   536b76: or      t2,t6,t2
    0.00 :   536b7a: srliw   t6,a2,0x19
    0.00 :   536b7e: slliw   s0,a2,0x7
    0.00 :   536b82: or      s0,t6,s0
    0.00 :   536b86: xor     t1,t1,t2
    0.00 :   536b8a: xor     t0,a4,a3
    0.00 :   536b8e: xor     t1,t1,s0
    0.00 :   536b92: and     t0,t0,a2
    0.00 :   536b96: add     a5,a5,t1
    0.00 :   536b98: xor     t0,t0,a4
    0.00 :   536b9c: add     t0,t0,a5
    0.00 :   536b9e: srliw   t6,a6,0x2
    0.00 :   536ba2: slliw   t1,a6,0x1e
    0.00 :   536ba6: or      t1,t6,t1
    0.00 :   536baa: srliw   t6,a6,0xd
    0.00 :   536bae: slliw   t2,a6,0x13
    0.00 :   536bb2: or      t2,t6,t2
    0.00 :   536bb6: srliw   t6,a6,0x16
    0.00 :   536bba: slliw   s0,a6,0xa
    0.00 :   536bbe: or      s0,t6,s0
    0.00 :   536bc2: xor     t1,t1,t2
    0.00 :   536bc6: xor     s1,a0,a7
    0.00 :   536bca: and     t2,a0,a7
    0.00 :   536bce: and     s1,s1,a6
    0.00 :   536bd2: xor     t1,t1,s0
    0.00 :   536bd6: xor     s1,s1,t2
    0.00 :   536bda: add     t1,t1,s1
    0.00 :   536bdc: add     a1,a1,t0
    0.00 :   536bde: add     a5,t0,t1
    0.00 :   536be2: lbu     t0,44(t4)
    0.00 :   536be6: lbu     t1,45(t4)
    0.00 :   536bea: lbu     t2,46(t4)
    0.00 :   536bee: lbu     s0,47(t4)
    0.00 :   536bf2: slli    t0,t0,0x18
    0.00 :   536bf4: slli    t1,t1,0x10
    0.00 :   536bf6: or      t0,t1,t0
    0.00 :   536bfa: slli    t2,t2,0x8
    0.00 :   536bfc: or      t0,t2,t0
    0.00 :   536c00: or      t0,s0,t0
    0.00 :   536c04: sw      t0,44(s3)
    0.00 :   536c08: lwu     s0,44(s2)
    0.00 :   536c0c: add     a4,a4,t0
    0.00 :   536c0e: srliw   t6,a1,0x6
    0.00 :   536c12: slliw   t1,a1,0x1a
    0.00 :   536c16: or      t1,t6,t1
    0.00 :   536c1a: add     a4,a4,s0
    0.00 :   536c1c: srliw   t6,a1,0xb
    0.00 :   536c20: slliw   t2,a1,0x15
    0.00 :   536c24: or      t2,t6,t2
    0.00 :   536c28: srliw   t6,a1,0x19
    0.00 :   536c2c: slliw   s0,a1,0x7
    0.00 :   536c30: or      s0,t6,s0
    0.00 :   536c34: xor     t1,t1,t2
    0.00 :   536c38: xor     t0,a3,a2
